Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
Aldeano,US,538,962,199.195.251.149,msvr10.myroundcube.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-02-17,PONYNET - FranTech Solutions- US,53667,3170,None
Alderaan,DE,1315,44,88.198.197.26,lepus.alenan.org,443,80,0,1,1,0,0,0,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-06-04,HETZNER-AS Hetzner Online GmbH- DE,24940,13200,None
alechhome2,DE,3071,967,185.104.140.208,host-185-104-140-208.fiberone.de,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-02-24,NYNEX NYNEX satellite OHG-DE,200519,20600,None
Aleksei,NL,358,3622,146.185.170.161,146.185.170.161,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-12-23,DIGITALOCEAN-ASN-1 Digital Ocean- Inc.-EU,200130,1690,None
alex,AQ,235,20,85.195.215.115,85-195-215-115.init7.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.7.6 on Linux,0,0,2012-01-13,INIT7 Init7 (Switzerland) Ltd.- CH,13030,1430,None
AlexanderShulgin,NL,7319,423,93.174.90.30,2.shulgin.nl.torexit.haema.co.uk,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2013-04-19,QUASINETWORKS Quasi Networks LTD.-NL,29073,11100,None
Alexey,RU,194,14,78.108.77.86,78.108.77.86,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.7.6 on Windows 8,0,0,2016-02-11,INFOCENTR-AS Mobile TeleSystems PJSC- RU,43148,1320,None
alexjacobson,FR,6811,277,51.254.214.208,alexjacobson.torrelay.fr.veilednet.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-01-18,OVH OVH SAS-FR,16276,28400,None
AlexPlotz,RU,1,196,176.114.128.117,host-176-114-128-117.teleos.ru,443,80,0,0,0,0,0,1,1,1,1,Tor 0.2.7.6 on Windows 7,0,0,2016-01-27,TELEOS-1-AS Teleradiocompany Teleos-1 Ltd-RU,43274,5,None
alexryantorrelay,US,203,2721,131.215.172.214,dhcp-172-214.caltech.edu,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-07-30,CIT - California Institute of Technology-US,31,1010,None
alfavetix,DE,60,176,148.251.227.14,asterix.stinpriza.org,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2014-06-17,HETZNER-AS Hetzner Online GmbH-DE,24940,477,None
alfredjkwak,DE,14,221,188.166.161.136,lavikina.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on FreeBSD,0,0,2016-05-14,DIGITALOCEAN-GERMANY Digital Ocean- Inc.- DE,201229,84,None
